title,year,rating,votes
Taxi 4,2007,5.6,32650
Teeth,2007,5.4,49170
The Air I Breathe,2007,6.7,35462
The Assassination of Jesse James by the Coward Robert Ford,2007,7.5,202373
The Bourne Ultimatum,2007,8,679834
The Brave One,2007,6.7,65731
The Bucket List,2007,7.3,269930
The Condemned,2007,6,55811
The Counterfeiters,2007,7.5,48351
The Darjeeling Limited,2007,7.2,229186
The Diving Bell and the Butterfly,2007,8,112550
The Edge of Heaven,2007,7.7,35255
The Game Plan,2007,6.2,103073
The Girl Next Door,2007,6.5,31666
The Golden Compass,2007,6.1,202785
The Great Debaters,2007,7.5,66023
The Heartbreak Kid,2007,5.9,100739
The Hills Have Eyes 2,2007,5.1,70810
The Hitcher,2007,5.6,47356
The Hunting Party,2007,6.7,26706
The Invasion,2007,5.9,87296
The Invisible,2007,6.1,37201
The Jane Austen Book Club,2007,6.7,29705
The King of Kong: A Fistful of Quarters,2007,8,38441
The Kingdom,2007,7,136748
The Kite Runner,2007,7.6,84738
The Last Legion,2007,5.4,38111
The Lookout,2007,6.9,61787
The Man from Earth,2007,7.8,216204
The Messengers,2007,5.3,42450
The Mist,2007,7.1,369492
The Nanny Diaries,2007,6.2,67195
The Nines,2007,6.2,35252
The Number 23,2007,6.4,220265
The Orphanage,2007,7.4,169638
The Poughkeepsie Tapes,2007,5.9,30400
The Reaping,2007,5.6,45856
The Savages,2007,7.1,39681
The Simpsons Movie,2007,7.3,361621
The Visitor,2007,7.6,45889
The Warlords,2007,7,28576
The Water Horse,2007,6.4,44509
There Will Be Blood,2007,8.2,697711
Things We Lost in the Fire,2007,7.1,30506
Timecrimes,2007,7.1,74213
TMNT,2007,6.2,71842
Transformers,2007,7.1,710973
Trick 'r Treat,2007,6.7,113756
Two Days in Paris,2007,6.7,32592
Vacancy,2007,6.2,112402
Waitress,2007,7,50953
Walk Hard: The Dewey Cox Story,2007,6.9,80901
War,2007,6.2,100892
We Own the Night,2007,6.8,95992
Welcome,2007,7.2,29056
Wild Hogs,2007,5.9,127136
Wind Chill,2007,5.8,26869
Zodiac,2007,7.7,661053
"10,000 BC",2008,5.1,138953
21,2008,6.8,278888
27 Dresses,2008,6.1,185935
A Wednesday,2008,8.1,85467
A.R.O.G,2008,7.4,48369
Alone,2008,6.8,25278
"Angus, Thongs and Perfect Snogging",2008,6.3,31594
Appaloosa,2008,6.7,67595
Asterix at the Olympic Games,2008,5.2,34681
Australia,2008,6.6,133188
Baby Mama,2008,6,49065
Babylon A.D.,2008,5.5,100524
Bangkok Dangerous,2008,5.3,59446
Be Kind Rewind,2008,6.4,96087
Bedtime Stories,2008,6,105567
Beverly Hills Chihuahua,2008,4,27256
Blindness,2008,6.5,76887
Body of Lies,2008,7,248915
Bolt,2008,6.8,244899
Bronson,2008,7,148037
Burn After Reading,2008,7,372518
Changeling,2008,7.7,273660
Che: Part One,2008,7.1,49514
Che: Part Two,2008,6.8,36229
Choke,2008,6.4,34679
City of Ember,2008,6.4,72536
Cloverfield,2008,7,440822
Dear Zachary: A Letter to a Son About His Father,2008,8.5,44798
Death Race,2008,6.4,227003
Deception,2008,6,42061
Defiance,2008,7.1,160351
"Definitely, Maybe",2008,7.1,180863
Departures,2008,8,57118
Disaster Movie,2008,1.9,97469
Doomsday,2008,5.9,82033
Doubt,2008,7.5,144712
Drillbit Taylor,2008,5.7,63921
Eagle Eye,2008,6.6,200607
Eden Lake,2008,6.7,107050
Felon,2008,7.4,87366
Fireproof,2008,6.5,25353
"Food, Inc.",2008,7.8,53109
Fool's Gold,2008,5.7,88613
Forgetting Sarah Marshall,2008,7.1,317643
Four Christmases,2008,5.7,88154
Frost/Nixon,2008,7.6,115523
Frozen River,2008,7.1,27094
Get Smart,2008,6.5,236246
Ghajini,2008,7.4,71537
Ghost Town,2008,6.7,81007
Gomorrah,2008,7,52888
Gran Torino,2008,8.1,854939
Hancock,2008,6.4,535092
Happy-Go-Lucky,2008,7,42381
Harold & Kumar Escape from Guantanamo Bay,2008,6.5,145405
Hellboy II: The Golden Army,2008,7,297232
High School Musical 3: Senior Year,2008,5.1,71687
Horton Hears a Who!,2008,6.8,157379
How to Lose Friends & Alienate People,2008,6.4,71908
Hunger,2008,7.5,76150
In Bruges,2008,7.9,488687
Indiana Jones and the Kingdom of the Crystal Skull,2008,6.2,510643
Inkheart,2008,6.1,85030
Ip Man,2008,8,241844
Iron Man,2008,7.9,1207447
Jaane Tu... Ya Jaane Na,2008,7.4,29296
JCVD,2008,7,41266
Jodhaa Akbar,2008,7.5,36324
Journey to the Center of the Earth,2008,5.8,139547
Jumper,2008,6.1,335772
Keith,2008,7.3,38232
Kung Fu Panda,2008,7.6,569923
Lake Mungo,2008,6.2,36798
Lakeview Terrace,2008,6.2,58931
Leatherheads,2008,6,34288
Let the Right One In,2008,7.8,238231
Loft,2008,7.2,25893
Madagascar: Escape 2 Africa,2008,6.7,267202
Made of Honor,2008,5.9,79593
Mamma Mia!,2008,6.5,300430
Man on Wire,2008,7.7,60792
Marley & Me,2008,7,174519
Martyrs,2008,7,118215
Max Manus: Man of War,2008,7.3,31307
Max Payne,2008,5.3,133391
Meet Dave,2008,5.1,45796
Meet the Spartans,2008,2.8,114772
Mesrine: Killer Instinct,2008,7.5,36424
Mesrine: Public Enemy No. 1,2008,7.4,32214
Milk,2008,7.5,185129
Mirrors,2008,6.1,118523
Miss Pettigrew Lives for a Day,2008,7,30537
Mutant Chronicles,2008,5.2,27666
My Best Friend's Girl,2008,5.8,47877
Never Back Down,2008,6.5,110662
"New York, I Love You",2008,6.2,49857
Nick and Norah's Infinite Playlist,2008,6.6,97076
Nights in Rodanthe,2008,6,27303
Nim's Island,2008,6,38070
Nothing But the Truth,2008,7.1,41384
One Missed Call,2008,4.1,35151
Ong Bak 2,2008,6.2,32932
Open Season 2,2008,5.5,28804
Outlander,2008,6.2,81113
Over Her Dead Body,2008,5.3,26212
Passengers,2008,5.8,40899
Pathology,2008,5.9,34523
Pineapple Express,2008,6.9,370646
Pontypool,2008,6.5,38056
Ponyo,2008,7.6,182054
Pride and Glory,2008,6.6,65340
Prom Night,2008,4,39634
Punisher: War Zone,2008,5.9,70326
Quantum of Solace,2008,6.5,491983
Quarantine,2008,6,82555
Rab Ne Bana Di Jodi,2008,7.2,58949
Rachel Getting Married,2008,6.7,53120
Rambo,2008,7,254937
Recep Ivedik,2008,5,31006
Red Cliff,2008,7.3,50128
Religulous,2008,7.6,61014
Repo! The Genetic Opera,2008,6.4,28095
Resident Evil: Degeneration,2008,6.4,34468
Revolutionary Road,2008,7.3,233976
Righteous Kill,2008,6,95368
RocknRolla,2008,7.2,273893
Role Models,2008,6.8,250379
Saw V,2008,5.8,146729
Semi-Pro,2008,5.8,88917
Seven Pounds,2008,7.6,324232
Sex and the City,2008,5.7,132538
Sex Drive,2008,6.5,95385
Shutter,2008,5.2,39545
Slumdog Millionaire,2008,8,905346
Speed Racer,2008,6.1,82584
Splinter,2008,6.1,43722
Star Wars: The Clone Wars,2008,6,79834
Step Brothers,2008,6.9,337795
Step Up 2 the Streets,2008,6.2,94049
Street Kings,2008,6.8,125991
Sunshine Cleaning,2008,6.8,75841
Superhero Movie,2008,4.7,82859
"Synecdoche, New York",2008,7.5,103658
Taken,2008,7.7,666461
The Accidental Husband,2008,5.6,26536
The Baader Meinhof Complex,2008,7.3,41454
The Bank Job,2008,7.2,195984
The Boy in the Striped Pajamas,2008,7.7,269834
The Brothers Bloom,2008,6.7,53909
The Chaser,2008,7.8,79223
The Chronicles of Narnia: Prince Caspian,2008,6.5,237351
The Class,2008,7.5,37372
The Curious Case of Benjamin Button,2008,7.8,738095
The Dark Knight,2008,9.1,3119860
The Day the Earth Stood Still,2008,5.5,186009
The Duchess,2008,6.9,90254
The Eye,2008,5.4,58568
The Forbidden Kingdom,2008,6.5,112940
"The Good, the Bad, the Weird",2008,7.2,39477
The Happening,2008,5,225706
The Hottie & the Nottie,2008,2,39591
The House Bunny,2008,5.6,94897
The Hurt Locker,2008,7.5,492834
The Incredible Hulk,2008,6.6,558041
The Love Guru,2008,3.8,56600
The Midnight Meat Train,2008,6,74903
The Mummy: Tomb of the Dragon Emperor,2008,5.2,178547
The Other Boleyn Girl,2008,6.7,125985
The Oxford Murders,2008,6,31778
The Reader,2008,7.6,272385
The Rocker,2008,6.2,41099
The Ruins,2008,5.9,90321
The Secret Life of Bees,2008,7.2,29525
The Sisterhood of the Traveling Pants 2,2008,6.2,31793
The Spiderwick Chronicles,2008,6.5,108092
The Spirit,2008,4.7,64095
The Strangers,2008,6.1,155889
The Tale of Despereaux,2008,6.1,41279
The Wackness,2008,6.9,31693
The Wave,2008,7.6,120668
The Wrestler,2008,7.9,329587
The X Files: I Want to Believe,2008,5.9,96161
Traitor,2008,6.9,60538
Transporter 3,2008,6.1,184364
Transsiberian,2008,6.6,56290
Tropic Thunder,2008,7.1,483092
Twilight,2008,5.4,520194
Two Lovers,2008,7,45454
Untraceable,2008,6.2,54492
Valkyrie,2008,7.1,272412
Vantage Point,2008,6.6,157361
Vicky Cristina Barcelona,2008,7.1,279020
W.,2008,6.3,51251
WALL·E,2008,8.4,1302152
Waltz with Bashir,2008,8,62352
Wanted,2008,6.7,425943
Welcome to the Sticks,2008,7.1,47185
What Happens in Vegas,2008,6.1,194235
What Just Happened,2008,5.6,29178
Wild Child,2008,6.1,67845
Yes Man,2008,6.8,401933
You Don't Mess with the Zohan,2008,5.6,225571
Zack and Miri Make a Porno,2008,6.5,186066
[Rec]²,2009,6.5,83637
12 Rounds,2009,5.6,31669
17 Again,2009,6.4,229978
2012,2009,5.9,418052
3 Idiots,2009,8.4,475148
500 Days of Summer,2009,7.6,609372
9,2009,7,155797
A Christmas Carol,2009,6.8,140195
A Perfect Getaway,2009,6.5,80310
A Prophet,2009,7.8,106769
A Serious Man,2009,7,157199
A Single Man,2009,7.5,121573
About Elly,2009,7.9,60504
Adam,2009,7.1,36694
Adventureland,2009,6.8,173809
After.Life,2009,5.9,42780
Agora,2009,7.1,75870
Aliens in the Attic,2009,5.4,25807
All About Steve,2009,4.8,45934
Alvin and the Chipmunks: The Squeakquel,2009,4.6,59835
An Education,2009,7.2,140645
Angels & Demons,2009,6.7,323357
Antichrist,2009,6.5,143661
Armored,2009,5.7,32669
Astro Boy,2009,6.3,42490
Avatar,2009,7.9,1476797
Away We Go,2009,7,56455
Bad Lieutenant: Port of Call New Orleans,2009,6.6,84133
Black Dynamite,2009,7.4,54005
Blood and Bone,2009,6.7,37674
Bride Wars,2009,5.5,122381
Bright Star,2009,6.9,29569
Broken Embraces,2009,7.2,43961
Brooklyn's Finest,2009,6.7,68466
Brothers,2009,7.1,168803
Brüno,2009,5.9,157690
Capitalism: A Love Story,2009,7.4,44497
Carriers,2009,5.9,52793
Case 39,2009,6.2,98715
Cell 211,2009,7.6,73444
Chloe,2009,6.2,81963
Cirque du Freak: The Vampire's Assistant,2009,5.8,49430
City Island,2009,7.3,33297
Cloudy with a Chance of Meatballs,2009,6.9,280996
Coco Before Chanel,2009,6.6,43418
Confessions of a Shopaholic,2009,5.9,88007
Coraline,2009,7.8,296082
Couples Retreat,2009,5.6,120474
Crank: High Voltage,2009,6.1,166082
Crazy Heart,2009,7.2,98451
Crossing Over,2009,6.7,25375
Daybreakers,2009,6.4,140160
Dead Snow,2009,6.3,72596
Defendor,2009,6.7,38127
Dev.D,2009,7.9,33963
Did You Hear About the Morgans?,2009,4.9,44581
District 13: Ultimatum,2009,6.5,47575
District 9,2009,7.9,746862
Dogtooth,2009,7.1,121112
Dorian Gray,2009,6.2,70716
Drag Me to Hell,2009,6.6,228843
Dragonball Evolution,2009,2.5,84258
Duplicity,2009,6.1,53647
Enter the Void,2009,7.2,93609
Evangelion: 2.0 You Can (Not) Advance,2009,7.9,28098
Everybody's Fine,2009,7.1,66859
Exam,2009,6.7,133456
Extract,2009,6.1,52411
Fanboys,2009,6.5,62856
Fantastic Mr. Fox,2009,7.9,299308
Fast & Furious,2009,6.5,331634
Fighting,2009,5.6,35137
Fired Up!,2009,6.1,47448
Fish Tank,2009,7.3,67897
Frequently Asked Questions About Time Travel,2009,7,38338
Friday the 13th,2009,5.5,125229
Funny People,2009,6.3,126804
G-Force,2009,5.1,52884
G.I. Joe: The Rise of Cobra,2009,5.7,220524
Gamer,2009,5.7,143297
Ghosts of Girlfriends Past,2009,5.8,98472
Hachi: A Dog's Tale,2009,8.1,338436
Halloween II,2009,4.8,63613
Hannah Montana: The Movie,2009,4.8,48331
Harry Brown,2009,7.2,94160
Harry Potter and the Half-Blood Prince,2009,7.6,649941
He's Just Not That Into You,2009,6.4,192393
Horsemen,2009,5.5,25186
Hotel for Dogs,2009,5.5,26231
I Am Love,2009,7,25444
I Killed My Mother,2009,7.4,32455
I Love You Phillip Morris,2009,6.6,102835
"I Love You, Beth Cooper",2009,5.4,39134
"I Love You, Man",2009,7,224406
Ice Age: Dawn of the Dinosaurs,2009,6.9,282519
In the Loop,2009,7.4,63886
Inglourious Basterds,2009,8.4,1751019
Invictus,2009,7.3,173255
It's Complicated,2009,6.6,102436
Jennifer's Body,2009,5.6,168022
Julie & Julia,2009,7,134869
Knowing,2009,6.2,260233
Land of the Lost,2009,5.3,78946
Law Abiding Citizen,2009,7.4,341849
Leaves of Grass,2009,6.4,28608
Love Happens,2009,5.7,35570
Magadheera,2009,7.7,27738
Mary and Max,2009,8.1,200207
Micmacs,2009,7.1,31987
Middle Men,2009,6.8,38900
Monsters vs. Aliens,2009,6.4,186837
Moon,2009,7.8,391738
Mother,2009,7.7,79294
Mr. Nobody,2009,7.7,255938
My Bloody Valentine,2009,5.4,64404
My Sister's Keeper,2009,7.3,102208
New in Town,2009,5.7,26280
Night at the Museum: Battle of the Smithsonian,2009,6,226111
Nine,2009,5.8,46382
Ninja Assassin,2009,6.3,79182
Notorious,2009,6.7,47707
Nowhere Boy,2009,7.1,40675
Observe and Report,2009,5.8,67100
Obsessed,2009,5.1,35780
Old Dogs,2009,5.3,40636
Orphan,2009,7,274897
Pandorum,2009,6.7,166505
Paul Blart: Mall Cop,2009,5.3,123753
Planet 51,2009,6,61328
Precious,2009,7.3,120281
Public Enemies,2009,6.9,333013
Push,2009,6.1,118992
Race to Witch Mountain,2009,5.7,65770
Red Cliff II,2009,7.5,26319
Saw VI,2009,6.1,134231
Sherlock Holmes,2009,7.5,701233
Sin Nombre,2009,7.5,34908
Solomon Kane,2009,6.1,79974
Sorority Row,2009,5.2,33828
Soul Kitchen,2009,7.2,42307
Splice,2009,5.8,105993
Spread,2009,5.8,43133
Star Trek,2009,7.9,635587
State of Play,2009,7.1,165616
Street Fighter: The Legend of Chun-Li,2009,3.7,26109
Summer Wars,2009,7.4,33676
Surrogates,2009,6.3,184272
Taking Woodstock,2009,6.7,30722
Terminator Salvation,2009,6.5,390462
The Blind Side,2009,7.6,383109
The Boat That Rocked,2009,7.3,119865
The Boondock Saints II: All Saints Day,2009,6.2,68554
The Box,2009,5.6,97543
The Breath,2009,8,36741
The Code,2009,6,36810
The Collector,2009,6.3,78706
The Cove,2009,8.4,52921
The Damned United,2009,7.5,47910
The Descent: Part 2,2009,5.7,55111
The Disappearance of Alice Creed,2009,6.7,28329
The Final Destination,2009,5.1,138939
The Fourth Kind,2009,5.9,85611
The Girl Who Kicked the Hornet's Nest,2009,7.3,77123
The Girl Who Played with Fire,2009,7.1,101448
The Girl with the Dragon Tattoo,2009,7.8,229444
The Hangover,2009,7.7,916493
The Haunting in Connecticut,2009,5.9,67602
The Hole,2009,5.7,25146
The House of the Devil,2009,6.3,55111
The Human Centipede (First Sequence),2009,4.4,95590
The Imaginarium of Doctor Parnassus,2009,6.7,157112
The Informant!,2009,6.5,69581
The International,2009,6.5,103612
The Invention of Lying,2009,6.4,156111
The Joneses,2009,6.4,42715
The Last House on the Left,2009,6.5,107343
The Loved Ones,2009,6.6,47019
The Lovely Bones,2009,6.6,189839
The Men Who Stare at Goats,2009,6.2,141195
The Messenger,2009,7.1,38277
The Pink Panther 2,2009,5.6,51102
The Princess and the Frog,2009,7.2,183844
The Proposal,2009,6.8,391256
The Rebound,2009,6.3,52063
The Road,2009,7.2,268021
The Secret in Their Eyes,2009,8.2,239350
The Secret of Kells,2009,7.5,40395
The Soloist,2009,6.7,56564
The Stepfather,2009,5.6,42197
The Taking of Pelham 123,2009,6.4,216053
The Time Traveler's Wife,2009,7.1,164522
The Tournament,2009,6,36995
The Twilight Saga: New Moon,2009,4.8,318628
The Ugly Truth,2009,6.4,239963
The Unborn,2009,4.7,54567
The Uninvited,2009,6.3,88739
The White Ribbon,2009,7.8,80982
The Young Victoria,2009,7.2,68892
Thirst,2009,7.1,54339
This Is It,2009,7.2,42957
Transformers: Revenge of the Fallen,2009,6,450058
Triangle,2009,6.9,146041
Underworld: Rise of the Lycans,2009,6.5,174078
Universal Soldier: Regeneration,2009,5.3,27244
Up,2009,8.3,1218451
Up in the Air,2009,7.4,359018
Valhalla Rising,2009,6,66185
Wake Up Sid,2009,7.6,36836
Wanted,2009,6.6,29282
Watchmen,2009,7.6,607036
Whatever Works,2009,7.1,78927
Where the Wild Things Are,2009,6.7,111490
Whip It,2009,6.9,72125
Whiteout,2009,5.5,42239
World's Greatest Dad,2009,6.8,42033
X-Men Origins: Wolverine,2009,6.5,563482
Yahsi Bati - The Ottoman Cowboys,2009,7.4,40776
Year One,2009,5,108074
Youth in Revolt,2009,6.4,77795
Zombieland,2009,7.5,660345
127 Hours,2010,7.5,421227
13,2010,6,45589
13 Assassins,2010,7.5,71236
22 Bullets,2010,6.6,37720
6 Souls,2010,6,38747
A Nightmare on Elm Street,2010,5.2,114148
A Serbian Film,2010,4.9,78901
Alice in Wonderland,2010,6.4,464118
All Good Things,2010,6.2,63317
Animal Kingdom,2010,7.2,62934
Another Year,2010,7.4,32023
Barney's Version,2010,7.3,27298
Beginners,2010,7.2,97027
Birdemic: Shock and Terror,2010,1.7,26821
Biutiful,2010,7.4,97484
Black Death,2010,6.4,54131
Black Swan,2010,8,879514
Blue Valentine,2010,7.3,223152
Boy,2010,7.5,31270
Buried,2010,7,175309
Burlesque,2010,6.4,98403
Catfish,2010,7.1,44284
Centurion,2010,6.3,89169
Certified Copy,2010,7.2,28644
Charlie St. Cloud,2010,6.4,66261
Clash of the Titans,2010,5.8,303331
Confessions,2010,7.7,44616
Conviction,2010,7.2,47952
Cop Out,2010,5.5,92223
Cyrus,2010,6.3,37445
Dabangg,2010,6.3,37134
Date Night,2010,6.3,178450
Dear John,2010,6.3,162839
Death at a Funeral,2010,5.7,56562
Despicable Me,2010,7.6,625211
Devil,2010,6.3,164901
Diary of a Wimpy Kid,2010,6.3,64888
Dinner for Schmucks,2010,5.9,115493
Don't Be Afraid of the Dark,2010,5.5,52046
Due Date,2010,6.5,369610
Easy A,2010,7,439751
Eat Pray Love,2010,5.9,112773
Edge of Darkness,2010,6.6,102859
Elite Squad 2: The Enemy Within,2010,8,91371
Enthiran,2010,7.2,33107
Everything Must Go,2010,6.4,54940
Exit Through the Gift Shop,2010,7.9,70589
Fair Game,2010,6.8,52627
Faster,2010,6.4,116567
Flipped,2010,7.7,105401
Four Lions,2010,7.3,90131
From Paris with Love,2010,6.4,126217
Frozen,2010,6.1,86461
Get Him to the Greek,2010,6.3,189627
Going the Distance,2010,6.3,60935
Green Zone,2010,6.8,147016
Greenberg,2010,6.1,40231
Grown Ups,2010,6,307325
Gulliver's Travels,2010,4.9,77244
Happythankyoumoreplease,2010,6.7,30936
Harry Potter and the Deathly Hallows: Part 1,2010,7.7,654097
Heartbeats,2010,7,31012
Heartbreaker,2010,6.7,28356
Hereafter,2010,6.5,97979
Hesher,2010,6.9,55425
Hot Tub Time Machine,2010,6.4,196437
How Do You Know,2010,5.4,56989
How to Train Your Dragon,2010,8.1,879253
Hunting Season,2010,7.4,38961
I Saw the Devil,2010,7.8,162581
I Spit on Your Grave,2010,6.2,101448
In a Better World,2010,7.6,42913
Incendies,2010,8.3,243859
Inception,2010,8.8,2773594
Inside Job,2010,8.2,82402
Insidious,2010,6.8,362675
Ip Man 2,2010,7.5,115764
Iron Man 2,2010,6.9,926264
It's Kind of a Funny Story,2010,7.1,151435
Jackass 3D,2010,7,70571
Jonah Hex,2010,4.7,64257
Julia's Eyes,2010,6.7,38952
Kick-Ass,2010,7.6,617292
Killers,2010,5.5,99159
Knight and Day,2010,6.3,223357
Last Night,2010,6.5,52413
Leap Year,2010,6.4,115387
Legend of the Guardians: The Owls of Ga'Hoole,2010,6.9,91297
Legion,2010,5.3,118599
Let Me In,2010,7.1,132511
Letters to Juliet,2010,6.5,111978
Life as We Know It,2010,6.5,144036
Little Fockers,2010,5.5,125086
Little White Lies,2010,7.1,28145
London Boulevard,2010,6.2,51588
Love & Other Drugs,2010,6.7,246788
MacGruber,2010,5.6,49686
Machete,2010,6.6,208995
Megamind,2010,7.3,321078
Monsters,2010,6.3,101395
Morning Glory,2010,6.5,86794
My Name Is Khan,2010,7.9,122329
Nanny McPhee Returns,2010,6.1,39479
Never Let Me Go,2010,7.1,159062
Paranormal Activity 2,2010,5.7,114662
Percy Jackson & the Olympians: The Lightning Thief,2010,5.9,213402
Piranha 3D,2010,5.5,101420
Predators,2010,6.4,259928
Prince of Persia: The Sands of Time,2010,6.5,315669
Rabbit Hole,2010,6.9,52596
Rare Exports,2010,6.6,35285
RED,2010,7,336574
Remember Me,2010,7.1,162042
Repo Men,2010,6.3,113717
Resident Evil: Afterlife,2010,5.8,186075
Restrepo,2010,7.4,25045
Robin Hood,2010,6.6,294407
Room in Rome,2010,6,27903
Rubber,2010,5.7,42544
Salt,2010,6.5,341095
Saw 3D,2010,5.5,117317
Scott Pilgrim vs. the World,2010,7.5,491800
Secretariat,2010,7.2,32346
Senna,2010,8.4,83251
Sex and the City 2,2010,4.6,87926
She's Out of My League,2010,6.4,151771
Shrek Forever After,2010,6.3,242377
Shutter Island,2010,8.2,1612542
Skyline,2010,4.5,94118
Somewhere,2010,6.3,48312
Stake Land,2010,6.4,45580
Step Up 3D,2010,6.2,62079
Stone,2010,5.4,43935
Submarine,2010,7.3,100281
Super,2010,6.7,86918
Takers,2010,6.2,68096
Tangled,2010,7.7,537363
Tekken,2010,4.8,29471
The A-Team,2010,6.7,276010
The American,2010,6.3,106145
The Back-up Plan,2010,5.3,54530
The Book of Eli,2010,6.8,358341
The Bounty Hunter,2010,5.6,139469
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,6.3,175874
The Company Men,2010,6.7,50580
The Conspirator,2010,6.9,30949
The Crazies,2010,6.5,136451
The Debt,2010,6.8,73632
The Expendables,2010,6.4,377950
The Experiment,2010,6.4,59496
The Fighter,2010,7.8,405102
The Ghost Writer,2010,7.2,176035
The Illusionist,2010,7.4,37411
The Karate Kid,2010,6.3,224206
The Kids Are All Right,2010,7,136975
The Killer Inside Me,2010,6.1,36834
The King's Speech,2010,8,729330
The Last Airbender,2010,3.9,180307
The Last Exorcism,2010,5.7,54076
The Last Song,2010,6,95480
The Legend Is Born: Ip Man,2010,7,33180
The Losers,2010,6.2,110889
The Man from Nowhere,2010,7.7,79681
The Next Three Days,2010,7.3,214277
The Other Guys,2010,6.7,306348
The Perfect Host,2010,6.7,30488
The Runaways,2010,6.5,52415
The Secret World of Arrietty,2010,7.6,115208
The Social Network,2010,7.8,810128
The Sorcerer's Apprentice,2010,6.1,175732
The Spy Next Door,2010,5.5,49157
The Switch,2010,6.1,116768
The Tourist,2010,6,267305
The Town,2010,7.5,442185
The Twilight Saga: Eclipse,2010,5.1,278219
The Ward,2010,5.5,47058
The Warrior's Way,2010,6.3,27893
The Way,2010,7.3,37678
The Way Back,2010,7.3,126782
The Whistleblower,2010,7.1,36992
The Wolfman,2010,5.9,116940
Three Steps Above Heaven,2010,6.7,30800
"Tomorrow, When the War Began",2010,6.1,32656
Tooth Fairy,2010,5.1,52734
Toy Story 3,2010,8.3,957608
Troll Hunter,2010,6.9,82808
Tron: Legacy,2010,6.8,383426
True Grit,2010,7.6,373671
Trust,2010,6.9,45961
Tucker and Dale vs Evil,2010,7.5,207098
Udaan,2010,8.1,49489
Unstoppable,2010,6.8,217399
Unthinkable,2010,7,99297
Valentine's Day,2010,5.8,129148
Vampires Suck,2010,3.5,54425
Vanishing on 7th Street,2010,4.9,28200
Wall Street: Money Never Sleeps,2010,6.2,109467
Welcome to the Rileys,2010,6.9,25873
When in Rome,2010,5.5,66876
Wild Target,2010,6.7,42235
Winter's Bone,2010,7.1,156611
You Again,2010,5.8,56498
You Will Meet a Tall Dark Stranger,2010,6.3,48652
10 Years,2011,6.1,28439
30 Minutes or Less,2011,6,109650
50/50,2011,7.6,351521
A Dangerous Method,2011,6.4,111576
A Little Bit of Heaven,2011,6.2,30563
A Lonely Place to Die,2011,6.2,32013
A Separation,2011,8.3,275441
A Very Harold & Kumar Christmas,2011,6.2,74994
Abduction,2011,5.1,85615
Albert Nobbs,2011,6.7,26385
Alvin and the Chipmunks: Chipwrecked,2011,4.4,43827
Anonymous,2011,6.8,43166
Another Earth,2011,6.9,103736
Apollo 18,2011,5.2,59858
Arthur,2011,5.7,53751
Arthur Christmas,2011,7.1,73219
Attack the Block,2011,6.7,115101
Bad Teacher,2011,5.7,221185
Battle Los Angeles,2011,5.7,189508
Beastly,2011,5.5,81727
Bernie,2011,6.8,66749
"Big Mommas: Like Father, Like Son",2011,4.5,31053
Blitz,2011,6.1,95740
Bodyguard,2011,4.8,30430
Bridesmaids,2011,6.8,322931
Captain America: The First Avenger,2011,6.9,956148
Carnage,2011,7.1,137684
Cars 2,2011,6.2,249480
Cedar Rapids,2011,6.3,40869
Chalet Girl,2011,6.3,27761
Colombiana,2011,6.4,113530
Conan the Barbarian,2011,5.2,105473
Contagion,2011,6.8,328612
Coriolanus,2011,6.1,34739
Cowboys & Aliens,2011,6,240417
"Crazy, Stupid, Love.",2011,7.4,607498
Delhi Belly,2011,7.6,34362
Detachment,2011,7.7,110036
Diary of a Wimpy Kid: Rodrick Rules,2011,6.6,41593
Dolphin Tale,2011,6.8,26673
Don 2,2011,7.1,61669
Dream House,2011,6,70995
Drive,2011,7.8,753569
Drive Angry,2011,5.4,106207
Extremely Loud & Incredibly Close,2011,6.9,107507
Fast Five,2011,7.3,429235
Final Destination 5,2011,5.9,148937
Flypaper,2011,6.3,34927
Footloose,2011,5.9,55051
Friends with Benefits,2011,6.5,416568
Friends with Kids,2011,6.1,43981
Fright Night,2011,6.4,119039
From Up on Poppy Hill,2011,7.4,58322
Ghost Rider: Spirit of Vengeance,2011,4.4,132952
Gnomeo & Juliet,2011,5.9,63209
God Bless America,2011,7.1,73889
Goon,2011,6.8,93667
Grave Encounters,2011,6.1,70183
Green Lantern,2011,5.5,306901
Hall Pass,2011,5.9,135451
Hanna,2011,6.7,213908
Happy Feet Two,2011,5.8,50402
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,1030620
Haywire,2011,5.8,92514
Headhunters,2011,7.5,110763
Hobo with a Shotgun,2011,6.1,50283
Hop,2011,5.4,40053
Horrible Bosses,2011,6.9,485134
Hugo,2011,7.5,347374
Hysteria,2011,6.7,34034
I Am Number Four,2011,6.1,251996
Immortals,2011,6,182277
In the Land of Blood and Honey,2011,4.7,34907
In Time,2011,6.7,478735
Ironclad,2011,6.1,45090
J. Edgar,2011,6.5,137480
Jack and Jill,2011,3.3,95224
Jane Eyre,2011,7.3,97079
"Jeff, Who Lives at Home",2011,6.4,66321
Jiro Dreams of Sushi,2011,7.8,39505
Johnny English Reborn,2011,6.3,148283
Just Go with It,2011,6.4,285766
Justin Bieber: Never Say Never,2011,1.7,76571
Kill List,2011,6.4,49215
Kill the Irishman,2011,7,54290
Killer Elite,2011,6.4,140272
